x,Reactant
-0.833925163044736,0.201978857682301
-0.827206527735339,0.191313152373128
-0.820487892425942,0.181061836442227
-0.813769257116545,0.171213448754247
-0.807050621807148,0.161756759889731
-0.800331986497751,0.152680768969892
-0.793613351188354,0.143974700503876
-0.786894715878956,0.135628001258494
-0.780176080569559,0.127630337150432
-0.773457445260162,0.119971590160943
-0.766738809950765,0.112641855273006
-0.760020174641368,0.10563143743097
-0.753301539331971,0.0989308485226721
-0.746582904022574,0.0925308043840296
-0.739864268713177,0.086422221826112
-0.73314563340378,0.0805962156846881
-0.726426998094383,0.0750440958922497
-0.719708362784986,0.0697573645725126
-0.712989727475589,0.0647277131573934
-0.706271092166191,0.0599470195264638
-0.699552456856794,0.0554073451688802
-0.692833821547397,0.0511009323677914
-0.686115186238,0.0470202014072221
-0.679396550928603,0.0431577478014326
-0.672677915619206,0.0395063395467561
-0.665959280309809,0.0360589143959122
-0.659240645000412,0.0328085771547965
-0.652522009691015,0.0297485970017475
-0.645803374381618,0.0268724048292899
-0.639084739072221,0.0241735906083543
-0.632366103762824,0.0216459007749737
-0.625647468453427,0.0192832356394565
-0.618928833144029,0.0170796468180364
-0.612210197834632,0.0150293346869984
-0.605491562525235,0.0131266458592819
-0.598772927215838,0.0113660706835599
-0.592054291906441,0.00974224076579552
-0.585335656597044,0.0082499265132743
-0.578617021287647,0.00688403470111369
-0.57189838597825,0.00563960606124901
-0.565179750668853,0.00451181289389584
-0.558461115359456,0.00349595670148922
-0.551742480050059,0.0025874658450994
-0.545023844740661,0.00178189322332414
-0.538305209431264,0.00107491397365767
-0.531586574121867,0.000462323196336233
-0.52486793881247,-5.99662993397108e-5
-0.518149303503073,-0.000495926226206779
-0.511430668193676,-0.000849415027963246
-0.504712032884279,-0.0011241800654171
-0.497993397574882,-0.00132385978025745
-0.491274762265485,-0.00145198583634929
-0.484556126956088,-0.00151198523855178
-0.477837491646691,-0.00150718242905975
-0.471118856337294,-0.00144080136126876
-0.464400221027896,-0.00131596755116344
-0.457681585718499,-0.00113571010622933
-0.450962950409102,-0.000902963731887924
-0.444244315099705,-0.000620570715455367
-0.437525679790308,-0.000291282887624325
-0.430807044480911,8.22364385306305e-5
-0.424088409171514,0.000497410551024291
-0.417369773862117,0.000951747444908673
-0.41065113855272,0.00144283795069748
-0.403932503243323,0.0019683538852672
-0.397213867933926,0.00252604622523476
-0.390495232624529,0.00311374330281185
-0.383776597315132,0.00372934902413577
-0.377057962005734,0.004370841110077
-0.370339326696337,0.00503626935952325
-0.36362069138694,0.00572375393514019
-0.356902056077543,0.00643148367160882
-0.350183420768146,0.00715771440633932
-0.343464785458749,0.00790076733266165
-0.336746150149352,0.00865902737549265
-0.330027514839955,0.00943094158947981
-0.323308879530558,0.0102150175796216
-0.316590244221161,0.0110098219443646
-0.309871608911764,0.0118139787411766
-0.303152973602367,0.0126261679745974
-0.29643433829297,0.0134451241067651
-0.289715702983572,0.0142696345904199
-0.282997067674175,0.0150985384243836
-0.276278432364778,0.0159307247315166
-0.269559797055381,0.016765131359151
-0.262841161745984,0.0176007435020002
-0.256122526436587,0.0184365923475458
-0.24940389112719,0.0192717537439001
-0.242685255817793,0.0201053468901461
-0.235966620508396,0.0209365330491535
-0.229247985198999,0.0217645142828717
-0.222529349889602,0.0225885322100993
-0.215810714580205,0.0234078667867299
-0.209092079270807,0.0242218351084751
-0.20237344396141,0.0250297902360634
-0.195654808652013,0.0258311200429165
-0.188936173342616,0.0266252460853013
-0.182217538033219,0.0274116224949595
-0.175498902723822,0.028189734894213
-0.168780267414425,0.0289590993335462
-0.162061632105028,0.0297192612516649
-0.155342996795631,0.0304697944580321
-0.148624361486234,0.0312103001378798
-0.141905726176837,0.0319404058796978
-0.13518709086744,0.032659764725199
-0.128468455558042,0.0333680542417618
-0.121749820248645,0.0340649756173478
-0.115031184939248,0.0347502527778977
-0.108312549629851,0.0354236315272028
-0.101593914320454,0.0360848787092532
-0.094875279011057,0.0367337813930631
-0.0881566437016599,0.0373701460799722
-0.0814380083922628,0.0379937979334238
-0.0747193730828658,0.0386045800312199
-0.0680007377734687,0.0392023526402521
-0.0612821024640716,0.0397869925137103
-0.0545634671546745,0.0403583922107667
-0.0478448318452774,0.0409164594387372
-0.0411261965358803,0.0414611164177194
-0.0344075612264833,0.041992299267707
-0.0276889259170862,0.0425099574181806
-0.0209702906076891,0.0430140530401756
-0.014251655298292,0.0435045605008262
-0.007533019988895,0.0439814658403866
-0.000814384679497904,0.0444447662717284
0.00590425062989919,0.0448944697023142
0.0126228859392963,0.0453305942786489
0.0193415212486934,0.0457531679532067
0.0260601565580905,0.0461622280738349
0.0327787918674876,0.0465578209956348
0.0394974271768847,0.0469400017153182
0.0462160624862817,0.0473088335280416
0.0529346977956788,0.0476643877067165
0.0596533331050759,0.0480067432037959
0.0663719684144729,0.0483359863755382
0.07309060372387,0.0486522107287475
0.0798092390332671,0.0489555166899898
0.0865278743426642,0.0492460113972868
0.0932465096520613,0.0495238085142858
0.0999651449614584,0.0497890280669059
0.106683780270855,0.0500417963024618
0.113402415580253,0.0502822455712629
0.12012105088965,0.0505105142306902
0.126839686199047,0.0507267465717491
0.133558321508444,0.0509310927680991
0.140276956817841,0.0511237088475595
0.146995592127238,0.0513047566860932
0.153714227436635,0.051474404024265
0.160432862746032,0.0516328245061784
0.167151498055429,0.0517801977408881
0.173870133364826,0.051916709386289
0.180588768674223,0.052042551255482
0.18730740398362,0.0521579214456168
0.194026039293018,0.0522630244892109
0.200744674602415,0.0523580715279449
