x, y
-0.49287007277697736, 49.59756627553238
-0.4811838880884653, 44.28031290743155
-0.47181277476079647, 38.603215993046504
-0.45852574285468, 34.76358105171665
-0.44227098649131236, 30.22077357670578
-0.4281219599295627, 25.990873533246415
-0.4141207038802074, 22.033463711429814
-0.392570837489379, 18.247283789656674
-0.3687428423658059, 14.715341156019123
-0.3398660214020959, 11.46588439808779
-0.302270740207125, 8.536723163841808
-0.23459184553055773, 5.914385049978271
-0.13366458556528382, 5.077792264232943
-0.018034159616781842, 4.141242937853107
0.08325021242011155, 2.3576705780095613
0.24902409890772959, 0.01303780964797914
0.401301611930006, 3.544111255975663
0.4726624552070634, 8.615819209039548
0.5227443446993485, 13.952194697957411
0.5808058418609232, 21.042155584528466
0.6263930449345498, 27.853976531942635
0.6651458618099424, 33.86049543676663
0.7038371076385039, 40.38765754019992
0.7321844175994681, 44.75401999130813
0.7647555013730343, 49.812690134724036
