x, y
-0.6626615335572938, 49.87384173663375
-0.6512714254186999, 44.12537521207639
-0.6421250091954587, 39.2869882977335
-0.6283440818028003, 33.1443859572802
-0.611743213751502, 26.71596989602819
-0.5939285451558324, 20.75738460869187
-0.5741889605453521, 15.34084482533606
-0.5526225448125353, 9.997389829033802
-0.5213457247247493, 5.327793970505068
-0.48106961575243373, 1.9937355896811242
-0.41557342880262865, -0.001305085483099143
-0.27962776783305954, 4.152346978727107
-0.10528187145974838, 11.322486622873798
0.06455211985973863, 12.783747335450473
0.21887643755670538, 9.882977335015443
0.39159167259262895, 7.352851611780572
0.5267526544224026, 10.335841997650846
0.5855545474608275, 14.409448818897639
0.6356881881268239, 18.619219558881106
0.6860915622471249, 24.42728498716666
0.7264167136656776, 29.835994257623874
0.7731173830950688, 36.20176621568713
0.8118241337877934, 42.31696176099535
0.8511684362816019, 49.372253882629316
